Simulation Time,Sender,Packet Type,Number of Vehicles
7.8332562892,node[5],bsm,8
7.840425794269,node[3],bsm,8
7.843884148146,node[2],bsm,8
7.852683912776,node[0],bsm,8
7.863327301783,node[4],bsm,8
7.875352104963,node[6],bsm,8
7.901898016571,node[1],bsm,8
7.922355413251,node[7],bsm,8
7.9332562892,node[5],bsm,8
7.940425794269,node[3],bsm,8
7.943884148146,node[2],bsm,8
7.952683912776,node[0],bsm,8
7.963327301783,node[4],bsm,8
7.975352104963,node[6],bsm,8
8.001898016571,node[1],bsm,8
8.022355413251,node[7],bsm,8
8.0332562892,node[5],bsm,8
8.040425794269,node[3],bsm,8
8.043884148146,node[2],bsm,8
8.052683912776,node[0],bsm,8
8.063327301783,node[4],bsm,8
8.075352104963,node[6],bsm,8
8.101898016571,node[1],bsm,8
8.122355413251,node[7],bsm,8
8.1332562892,node[5],bsm,8
8.140425794269,node[3],bsm,8
8.143884148146,node[2],bsm,8
8.152683912776,node[0],bsm,8
8.163327301783,node[4],bsm,8
8.175352104963,node[6],bsm,8
8.201898016571,node[1],bsm,8
8.222355413251,node[7],bsm,8
8.2332562892,node[5],bsm,8
8.240425794269,node[3],bsm,8
8.243884148146,node[2],bsm,8
8.252683912776,node[0],bsm,8
8.263327301783,node[4],bsm,8
8.275352104963,node[6],bsm,8
8.301898016571,node[1],bsm,8
8.322355413251,node[7],bsm,8
8.3332562892,node[5],bsm,8
8.340425794269,node[3],bsm,8
8.343884148146,node[2],bsm,8
8.352683912776,node[0],bsm,8
8.363327301783,node[4],bsm,8
8.375352104963,node[6],bsm,8
8.401898016571,node[1],bsm,8
8.422355413251,node[7],bsm,8
8.4332562892,node[5],bsm,8
8.440425794269,node[3],bsm,8
8.443884148146,node[2],bsm,8
8.452683912776,node[0],bsm,8
8.463327301783,node[4],bsm,8
8.475352104963,node[6],bsm,8
8.501898016571,node[1],bsm,8
8.522355413251,node[7],bsm,8
8.5332562892,node[5],bsm,8
8.540425794269,node[3],bsm,8
8.543884148146,node[2],bsm,8
8.552683912776,node[0],bsm,8
8.563327301783,node[4],bsm,8
8.575352104963,node[6],bsm,8
8.601898016571,node[1],bsm,9
8.622355413251,node[7],bsm,9
8.627656027861,node[8],bsm,9
8.6332562892,node[5],bsm,9
8.640425794269,node[3],bsm,9
8.643884148146,node[2],bsm,9
8.652683912776,node[0],bsm,9
8.663327301783,node[4],bsm,9
8.675352104963,node[6],bsm,9
8.701898016571,node[1],bsm,9
8.722355413251,node[7],bsm,9
8.727656027861,node[8],bsm,9
8.7332562892,node[5],bsm,9
8.740425794269,node[3],bsm,9
8.743884148146,node[2],bsm,9
8.752683912776,node[0],bsm,9
8.763327301783,node[4],bsm,9
8.775352104963,node[6],bsm,9
8.801898016571,node[1],bsm,9
8.822355413251,node[7],bsm,9
8.827656027861,node[8],bsm,9
8.8332562892,node[5],bsm,9
8.840425794269,node[3],bsm,9
8.843884148146,node[2],bsm,9
8.852683912776,node[0],bsm,9
8.863327301783,node[4],bsm,9
8.875352104963,node[6],bsm,9
8.901898016571,node[1],bsm,9
8.922355413251,node[7],bsm,9
8.927656027861,node[8],bsm,9
8.9332562892,node[5],bsm,9
8.940425794269,node[3],bsm,9
8.943884148146,node[2],bsm,9
8.952683912776,node[0],bsm,9
8.963327301783,node[4],bsm,9
8.975352104963,node[6],bsm,9
9.001898016571,node[1],bsm,9
9.022355413251,node[7],bsm,9
9.027656027861,node[8],bsm,9
9.0332562892,node[5],bsm,9
9.040425794269,node[3],bsm,9
9.043884148146,node[2],bsm,9
9.052683912776,node[0],bsm,9
9.063327301783,node[4],bsm,9
9.075352104963,node[6],bsm,9
9.101898016571,node[1],bsm,9
9.122355413251,node[7],bsm,9
9.127656027861,node[8],bsm,9
9.1332562892,node[5],bsm,9
