Simulation Time,Node,Contetion Size
23.179128589155,accessPoint,31
23.279128589155,accessPoint,31
23.379128589155,accessPoint,31
23.479128589155,accessPoint,31
23.579128589155,accessPoint,31
23.679128589155,accessPoint,31
23.779128589155,accessPoint,31
23.879128589155,accessPoint,31
23.979128589155,accessPoint,31
24,wirelessHost[0],15
24,wirelessHost[1],15
24,wirelessHost[2],15
24.001726,wirelessHost[0],31
24.001726,wirelessHost[1],31
24.001726,wirelessHost[2],31
24.079128589155,accessPoint,31
24.179128589155,accessPoint,31
24.279128589155,accessPoint,31
24.379128589155,accessPoint,31
24.479128589155,accessPoint,31
24.579128589155,accessPoint,31
24.679128589155,accessPoint,31
24.779128589155,accessPoint,31
24.879128589155,accessPoint,31
24.979128589155,accessPoint,31
25,wirelessHost[0],15
25,wirelessHost[1],15
25,wirelessHost[2],15
25.001726,wirelessHost[0],31
25.001726,wirelessHost[1],31
25.001726,wirelessHost[2],31
25.079128589155,accessPoint,31
25.179128589155,accessPoint,31
25.279128589155,accessPoint,31
25.379128589155,accessPoint,31
25.479128589155,accessPoint,31
25.579128589155,accessPoint,31
25.679128589155,accessPoint,31
25.779128589155,accessPoint,31
25.879128589155,accessPoint,31
25.979128589155,accessPoint,31
26,wirelessHost[0],15
26,wirelessHost[1],15
26,wirelessHost[2],15
26.001726,wirelessHost[0],31
26.001726,wirelessHost[1],31
26.001726,wirelessHost[2],31
26.079128589155,accessPoint,31
26.179128589155,accessPoint,31
26.279128589155,accessPoint,31
26.379128589155,accessPoint,31
26.479128589155,accessPoint,31
26.579128589155,accessPoint,31
26.679128589155,accessPoint,31
26.779128589155,accessPoint,31
26.879128589155,accessPoint,31
26.979128589155,accessPoint,31
27,wirelessHost[0],15
27,wirelessHost[1],15
27,wirelessHost[2],15
27.001726,wirelessHost[0],31
27.001726,wirelessHost[1],31
27.001726,wirelessHost[2],31
27.079128589155,accessPoint,31
27.179128589155,accessPoint,31
27.279128589155,accessPoint,31
27.379128589155,accessPoint,31
27.479128589155,accessPoint,31
27.579128589155,accessPoint,31
27.679128589155,accessPoint,31
27.779128589155,accessPoint,31
27.879128589155,accessPoint,31
27.979128589155,accessPoint,31
28,wirelessHost[0],15
28,wirelessHost[1],15
28,wirelessHost[2],15
28.001726,wirelessHost[0],31
28.001726,wirelessHost[1],31
28.001726,wirelessHost[2],31
28.079128589155,accessPoint,31
28.179128589155,accessPoint,31
28.279128589155,accessPoint,31
28.379128589155,accessPoint,31
28.479128589155,accessPoint,31
28.579128589155,accessPoint,31
28.679128589155,accessPoint,31
28.779128589155,accessPoint,31
28.879128589155,accessPoint,31
28.979128589155,accessPoint,31
29,wirelessHost[0],15
29,wirelessHost[1],15
29,wirelessHost[2],15
29.001726,wirelessHost[0],31
29.001726,wirelessHost[1],31
29.001726,wirelessHost[2],31
29.003654,wirelessHost[0],63
29.003654,wirelessHost[1],63
29.079128589155,accessPoint,31
29.179128589155,accessPoint,31
29.279128589155,accessPoint,31
29.379128589155,accessPoint,31
29.479128589155,accessPoint,31
29.579128589155,accessPoint,31
29.679128589155,accessPoint,31
29.779128589155,accessPoint,31
29.879128589155,accessPoint,31
29.979128589155,accessPoint,31
30,wirelessHost[0],15
30,wirelessHost[1],15
30,wirelessHost[2],15
